Iter 1260: Train loss 0.71016564, Learning Rate 1.000e-05, It/sec 3.985, Tokens/sec 131.507, Trained Tokens 41580, Peak mem 3.481 GB
Iter 1270: Train loss 0.71016202, Learning Rate 1.000e-05, It/sec 3.807, Tokens/sec 125.630, Trained Tokens 41910, Peak mem 3.481 GB
Iter 1280: Train loss 0.71035080, Learning Rate 1.000e-05, It/sec 3.934, Tokens/sec 129.826, Trained Tokens 42240, Peak mem 3.481 GB
Iter 1290: Train loss 0.71002717, Learning Rate 1.000e-05, It/sec 4.100, Tokens/sec 135.312, Trained Tokens 42570, Peak mem 3.481 GB
Iter 1300: Train loss 0.71030879, Learning Rate 1.000e-05, It/sec 4.019, Tokens/sec 132.642, Trained Tokens 42900, Peak mem 3.481 GB
Iter 1310: Train loss 0.71012115, Learning Rate 1.000e-05, It/sec 3.961, Tokens/sec 130.705, Trained Tokens 43230, Peak mem 3.481 GB
Iter 1320: Train loss 0.71022091, Learning Rate 1.000e-05, It/sec 3.970, Tokens/sec 131.006, Trained Tokens 43560, Peak mem 3.481 GB
Iter 1330: Train loss 0.71016083, Learning Rate 1.000e-05, It/sec 3.992, Tokens/sec 131.748, Trained Tokens 43890, Peak mem 3.481 GB
Iter 1340: Train loss 0.70990276, Learning Rate 1.000e-05, It/sec 3.873, Tokens/sec 127.799, Trained Tokens 44220, Peak mem 3.481 GB
Iter 1350: Train loss 0.71012411, Learning Rate 1.000e-05, It/sec 4.038, Tokens/sec 133.247, Trained Tokens 44550, Peak mem 3.481 GB
Iter 1360: Train loss 0.71002345, Learning Rate 1.000e-05, It/sec 3.902, Tokens/sec 128.762, Trained Tokens 44880, Peak mem 3.481 GB
Iter 1370: Train loss 0.70999241, Learning Rate 1.000e-05, It/sec 4.036, Tokens/sec 133.176, Trained Tokens 45210, Peak mem 3.481 GB
Iter 1380: Train loss 0.71015406, Learning Rate 1.000e-05, It/sec 4.101, Tokens/sec 135.323, Trained Tokens 45540, Peak mem 3.481 GB
Iter 1390: Train loss 0.71017337, Learning Rate 1.000e-05, It/sec 4.069, Tokens/sec 134.264, Trained Tokens 45870, Peak mem 3.481 GB
Iter 1400: Train loss 0.71006784, Learning Rate 1.000e-05, It/sec 4.014, Tokens/sec 132.458, Trained Tokens 46200, Peak mem 3.481 GB
Iter 1410: Train loss 0.71021323, Learning Rate 1.000e-05, It/sec 3.822, Tokens/sec 126.112, Trained Tokens 46530, Peak mem 3.481 GB
Iter 1420: Train loss 0.71030025, Learning Rate 1.000e-05, It/sec 3.966, Tokens/sec 130.886, Trained Tokens 46860, Peak mem 3.481 GB
Iter 1430: Train loss 0.70993185, Learning Rate 1.000e-05, It/sec 4.013, Tokens/sec 132.414, Trained Tokens 47190, Peak mem 3.481 GB
Iter 1440: Train loss 0.70994825, Learning Rate 1.000e-05, It/sec 3.494, Tokens/sec 115.299, Trained Tokens 47520, Peak mem 3.481 GB
Iter 1450: Train loss 0.71014810, Learning Rate 1.000e-05, It/sec 4.055, Tokens/sec 133.815, Trained Tokens 47850, Peak mem 3.481 GB
Iter 1460: Train loss 0.71017160, Learning Rate 1.000e-05, It/sec 3.973, Tokens/sec 131.108, Trained Tokens 48180, Peak mem 3.481 GB
Iter 1470: Train loss 0.71001687, Learning Rate 1.000e-05, It/sec 3.811, Tokens/sec 125.770, Trained Tokens 48510, Peak mem 3.481 GB
Iter 1480: Train loss 0.71020403, Learning Rate 1.000e-05, It/sec 3.940, Tokens/sec 130.033, Trained Tokens 48840, Peak mem 3.481 GB
Iter 1490: Train loss 0.71011472, Learning Rate 1.000e-05, It/sec 4.039, Tokens/sec 133.273, Trained Tokens 49170, Peak mem 3.481 GB
Iter 1500: Train loss 0.71028914, Learning Rate 1.000e-05, It/sec 3.849, Tokens/sec 127.009, Trained Tokens 49500, Peak mem 3.481 GB
